Neighbourhood Number,China,Hong Kong,Taiwan,Japan,Korea; South,Total
129,8630,2450,115,45,65,11305
128,5920,1255,140,25,65,7405
20,110,10,0,10,40,170
95,620,230,120,90,365,1425
42,1910,870,135,25,385,3325
34,305,25,0,10,170,510
76,2180,485,515,90,830,4100
52,2360,1270,235,55,1070,4990
49,1945,920,150,35,470,3520
39,365,160,40,10,115,690
112,20,0,0,0,10,30
127,1680,635,85,35,160,2595
122,380,105,10,35,35,565
24,90,20,10,10,35,165
69,485,60,30,10,15,600
108,105,25,10,25,90,255
41,515,270,35,15,155,990
57,205,45,0,30,45,325
30,125,35,10,20,20,210
71,360,45,20,10,60,495
109,60,25,0,0,0,85
96,130,45,25,30,40,270
133,225,110,30,15,20,400
75,1080,465,230,115,370,2260
120,1105,165,20,35,55,1380
33,205,55,30,15,100,405
123,345,105,20,25,35,530
92,180,55,0,0,65,300
66,315,70,10,15,15,425
59,555,205,30,80,60,930
47,3570,990,245,60,510,5375
126,1275,390,70,0,20,1755
93,1215,140,30,70,220,1675
26,170,20,0,20,85,295
83,310,45,10,10,65,440
62,425,135,30,45,95,730
9,125,35,10,0,150,320
138,380,85,15,25,30,535
5,40,20,10,0,90,160
32,170,35,20,10,90,325
11,305,105,40,10,285,745
13,150,40,25,10,195,420
44,655,135,10,20,155,975
102,120,25,0,10,80,235
101,180,70,0,10,20,280
25,160,20,0,10,10,200
65,890,160,30,15,50,1145
140,115,45,0,15,45,220
53,1315,380,70,40,230,2035
88,250,75,10,45,200,580
87,260,65,15,70,155,565
134,260,205,10,10,75,560
48,4325,1460,205,40,420,6450
8,0,0,25,0,90,115
21,50,10,0,0,40,100
22,95,0,0,10,65,170
106,80,45,0,60,85,270
125,235,45,10,0,15,305
14,790,195,85,40,1195,2305
90,320,55,25,35,30,465
110,25,25,0,10,0,60
124,420,225,10,60,30,745
78,2990,395,110,65,185,3745
6,185,30,20,0,170,405
15,60,25,10,0,70,165
114,60,10,10,0,30,110
117,9430,1575,130,40,120,11295
38,540,245,120,40,580,1525
105,235,120,40,15,175,585
103,230,35,30,10,35,340
56,185,140,20,10,120,475
84,585,60,20,10,75,750
19,75,20,0,10,10,115
132,1370,700,50,20,60,2200
29,25,0,0,0,20,45
12,45,45,20,0,170,280
130,9410,3050,150,30,10,12650
17,710,200,10,60,395,1375
135,365,145,40,25,55,630
73,360,220,20,40,125,765
115,70,25,10,20,135,260
2,70,30,0,10,45,155
99,245,125,0,45,125,540
104,625,185,35,130,445,1420
18,125,30,0,25,50,230
50,1935,905,245,25,1355,4465
36,965,250,160,25,1530,2930
82,735,310,40,50,245,1380
68,495,95,10,35,10,645
74,390,65,0,20,200,675
121,395,65,10,20,20,510
107,360,50,20,10,70,510
54,260,45,45,10,55,415
58,215,55,30,15,35,350
80,460,75,35,20,85,675
45,1180,345,130,40,355,2050
23,35,10,0,0,25,70
67,155,40,0,30,20,245
46,3255,495,140,25,145,4060
10,250,55,20,40,120,485
72,645,50,20,15,10,740
4,25,10,0,0,20,55
111,115,10,0,30,30,185
86,220,45,10,10,35,320
98,315,180,30,50,130,705
131,595,460,15,10,45,1125
89,65,25,10,25,25,150
28,0,0,0,0,0,0
139,205,85,10,10,20,330
85,545,60,20,50,55,730
70,2620,325,40,50,85,3120
40,1665,720,185,60,590,3220
116,9230,3050,300,20,90,12690
16,190,60,30,30,125,435
118,4670,1325,115,85,200,6395
61,255,130,15,35,75,510
63,110,45,30,40,45,270
3,45,0,0,0,15,60
55,150,90,10,30,60,340
81,1645,140,65,0,35,1885
79,330,60,20,30,85,525
43,350,95,20,0,95,560
77,3090,1190,330,170,730,5510
136,280,70,20,15,45,430
1,140,40,30,20,45,275
35,340,125,10,10,665,1150
113,85,0,10,20,45,160
91,65,10,0,10,0,85
119,1075,125,40,10,130,1380
51,6760,2875,1065,205,3510,14415
37,1390,415,190,35,1485,3515
7,235,60,25,20,290,630
137,1545,640,110,30,165,2490
64,365,80,0,25,20,490
60,210,90,20,25,30,375
94,330,45,10,20,75,480
100,260,110,40,35,120,565
97,170,90,35,30,70,395
27,555,35,10,10,265,875
31,275,30,20,20,35,380
